"","year","exporter","importer","product","value","quantity","description"
"1",2022,"Austria","Croatia","010391",28.606,14.85,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"2",2022,"Austria","Croatia","010392",16.859,3.34,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"3",2022,"Austria","Germany","010391",55.486,53.706,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"4",2022,"Austria","Germany","010392",14.886,3.396,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"5",2022,"Austria","Italy","010392",96.299,66.058,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"6",2022,"Austria","Netherlands","010310",0.115,0.068,"Swine: live, pure-bred breeding animals"
"7",2022,"Austria","Netherlands","010391",283.516,63.539,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"8",2022,"Austria","Netherlands","010392",95.393,49.084,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"9",2022,"Austria","Serbia","010310",33.679,2.596,"Swine: live, pure-bred breeding animals"
"10",2022,"Austria","Slovenia","010310",1.522,0.4,"Swine: live, pure-bred breeding animals"
"11",2022,"Austria","Slovenia","010391",591.393,166.996,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"12",2022,"Austria","Slovenia","010392",103.106,40.546,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"13",2022,"Belarus","Armenia","010310",45.002,31.205,"Swine: live, pure-bred breeding animals"
"14",2022,"Belarus","Armenia","010391",37.219,26.268,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"15",2022,"Belarus","Armenia","010392",18.453,15.459,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"16",2022,"Belgium","Cameroon","010310",11.557,0.502,"Swine: live, pure-bred breeding animals"
"17",2022,"Belgium","Croatia","010391",150.424,61.751,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"18",2022,"Belgium","Croatia","010392",133.817,71.522,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"19",2022,"Belgium","France","010310",22.957,8.008,"Swine: live, pure-bred breeding animals"
"20",2022,"Belgium","France","010391",2836.658,1659.979,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"21",2022,"Belgium","France","010392",32.613,14.842,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"22",2022,"Belgium","Germany","010310",19864.083,6737.45,"Swine: live, pure-bred breeding animals"
"23",2022,"Belgium","Germany","010391",2981.83,616.968,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"24",2022,"Belgium","Germany","010392",34285.314,20825.074,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"25",2022,"Belgium","Ghana","010310",15.486,2.16,"Swine: live, pure-bred breeding animals"
"26",2022,"Belgium","Greece","010391",152.139,52.74,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"27",2022,"Belgium","Hungary","010310",90.148,45.729,"Swine: live, pure-bred breeding animals"
"28",2022,"Belgium","Hungary","010392",805.322,623.087,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"29",2022,"Belgium","Italy","010391",962.203,573.149,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"30",2022,"Belgium","Italy","010392",3440.49,2192.021,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"31",2022,"Belgium","Luxembourg","010310",87.091,15.317,"Swine: live, pure-bred breeding animals"
"32",2022,"Belgium","Luxembourg","010391",601.631,210.642,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"33",2022,"Belgium","Luxembourg","010392",1771.152,1410.933,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"34",2022,"Belgium","Netherlands","010310",842.453,1245.492,"Swine: live, pure-bred breeding animals"
"35",2022,"Belgium","Netherlands","010391",8086.675,2510.682,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"36",2022,"Belgium","Netherlands","010392",28211.88,11471.529,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"37",2022,"Belgium","Pakistan","010391",13.658,1,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"38",2022,"Belgium","Poland","010391",124.802,48.665,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"39",2022,"Belgium","Poland","010392",358.271,251.017,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"40",2022,"Belgium","Portugal","010391",1024.499,324.87,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"41",2022,"Belgium","Portugal","010392",1498.343,687.412,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"42",2022,"Belgium","Romania","010391",1.434,0.812,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"43",2022,"Belgium","Romania","010392",14.157,11.513,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"44",2022,"Belgium","Rwanda","010310",33.701,1.44,"Swine: live, pure-bred breeding animals"
"45",2022,"Belgium","Spain","010310",1401.553,730.712,"Swine: live, pure-bred breeding animals"
"46",2022,"Belgium","Spain","010391",11246.051,4363.362,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"47",2022,"Belgium","Spain","010392",12492.634,7830.224,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"48",2022,"Belgium","Uganda","010310",4.428,0.27,"Swine: live, pure-bred breeding animals"
"49",2022,"Bosnia Herzegovina","Montenegro","010391",49.186,20.294,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"50",2022,"Bosnia Herzegovina","Montenegro","010392",104.225,49.651,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"51",2022,"Bosnia Herzegovina","Serbia","010391",31.76,13.68,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"52",2022,"Brazil","Bolivia (Plurinational State of)","010310",14.519,1.54,"Swine: live, pure-bred breeding animals"
"53",2022,"Brazil","Bolivia (Plurinational State of)","010392",181.375,39.231,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"54",2022,"Brazil","Panama","010310",0.05,0.02,"Swine: live, pure-bred breeding animals"
"55",2022,"Brazil","Panama","010391",0.18,0.053,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"56",2022,"Brazil","Paraguay","010310",452.14,44.858,"Swine: live, pure-bred breeding animals"
"57",2022,"Brazil","Paraguay","010392",1032.242,249.492,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"58",2022,"Brazil","Uruguay","010310",58.779,10.935,"Swine: live, pure-bred breeding animals"
"59",2022,"Bulgaria","Netherlands","010310",0.134,0.069,"Swine: live, pure-bred breeding animals"
"60",2022,"Bulgaria","Netherlands","010391",197.234,115.258,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"61",2022,"Bulgaria","Netherlands","010392",35.227,17.578,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"62",2022,"Bulgaria","Romania","010310",526.143,343.35,"Swine: live, pure-bred breeding animals"
"63",2022,"Bulgaria","Romania","010392",409.824,295.184,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"64",2022,"Canada","Argentina","010310",331.61,19.425,"Swine: live, pure-bred breeding animals"
"65",2022,"Canada","Brazil","010310",617.048,49.433,"Swine: live, pure-bred breeding animals"
"66",2022,"Canada","Chile","010310",555.316,15.893,"Swine: live, pure-bred breeding animals"
"67",2022,"Canada","China, Hong Kong SAR","010310",54.735,2.825,"Swine: live, pure-bred breeding animals"
"68",2022,"Canada","Colombia","010392",725.058,46.552,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"69",2022,"Canada","Czechia","010310",14.888,1.501,"Swine: live, pure-bred breeding animals"
"70",2022,"Canada","Dominican Rep.","010310",69.759,2.914,"Swine: live, pure-bred breeding animals"
"71",2022,"Canada","Ecuador","010310",103.646,13.686,"Swine: live, pure-bred breeding animals"
"72",2022,"Canada","Germany","010310",45.231,1.954,"Swine: live, pure-bred breeding animals"
"73",2022,"Canada","Guatemala","010310",64.416,2.496,"Swine: live, pure-bred breeding animals"
"74",2022,"Canada","Japan","010310",1392.671,71.696,"Swine: live, pure-bred breeding animals"
"75",2022,"Canada","Japan","010391",72.267,32.881,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"76",2022,"Canada","Japan","010392",2396.482,1505.856,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"77",2022,"Canada","Netherlands","010310",157.16,10.433,"Swine: live, pure-bred breeding animals"
"78",2022,"Canada","Panama","010310",60.512,6.622,"Swine: live, pure-bred breeding animals"
"79",2022,"Canada","Panama","010392",125.31,4.66,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"80",2022,"Canada","Peru","010310",110.943,9.047,"Swine: live, pure-bred breeding animals"
"81",2022,"Canada","Rep. of Korea","010310",1370.11,106.234,"Swine: live, pure-bred breeding animals"
"82",2022,"Canada","Rep. of Korea","010391",24.475,0.512,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"83",2022,"Canada","Rep. of Korea","010392",113.562,3.53,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"84",2022,"Canada","Romania","010310",2.627,0.265,"Swine: live, pure-bred breeding animals"
"85",2022,"Canada","Russian Federation","010310",747.875,41.764,"Swine: live, pure-bred breeding animals"
"86",2022,"Canada","Spain","010310",178.333,6.534,"Swine: live, pure-bred breeding animals"
"87",2022,"Canada","Thailand","010310",271.824,6.39,"Swine: live, pure-bred breeding animals"
"88",2022,"Canada","USA","010310",118.994,19.516,"Swine: live, pure-bred breeding animals"
"89",2022,"Canada","USA","010391",231960.404,45652.525,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"90",2022,"Canada","USA","010392",341740.938,186220.429,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"91",2022,"Canada","Viet Nam","010310",5988.029,160.963,"Swine: live, pure-bred breeding animals"
"92",2022,"Canada","Viet Nam","010392",42.458,26.506,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"93",2022,"China","China, Hong Kong SAR","010391",187.047,74.753,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"94",2022,"China","China, Hong Kong SAR","010392",372390.478,199342.853,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"95",2022,"China","China, Macao SAR","010392",43346.914,10240.36,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"96",2022,"Costa Rica","Ecuador","010310",47.735,0.773,"Swine: live, pure-bred breeding animals"
"97",2022,"Costa Rica","El Salvador","010310",151.863,5.37,"Swine: live, pure-bred breeding animals"
"98",2022,"Costa Rica","Guatemala","010310",32.401,1.61,"Swine: live, pure-bred breeding animals"
"99",2022,"Costa Rica","Honduras","010310",433.33,20.705,"Swine: live, pure-bred breeding animals"
"100",2022,"Costa Rica","Nicaragua","010310",278.189,15.03,"Swine: live, pure-bred breeding animals"
"101",2022,"Costa Rica","Panama","010310",36.866,1.368,"Swine: live, pure-bred breeding animals"
"102",2022,"Croatia","Albania","010392",652.573,428.22,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"103",2022,"Croatia","Austria","010392",1799.889,1091.317,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"104",2022,"Croatia","Bosnia Herzegovina","010391",436.407,132.86,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"105",2022,"Croatia","Bosnia Herzegovina","010392",1855.245,1136.28,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"106",2022,"Croatia","Bulgaria","010392",100.782,58.74,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"107",2022,"Croatia","Germany","010392",541.46,250.085,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"108",2022,"Croatia","Greece","010392",48.444,42.02,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"109",2022,"Croatia","Hungary","010392",41704.818,27456.562,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"110",2022,"Croatia","Ireland","010391",21.462,3.92,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"111",2022,"Croatia","Italy","010310",5809.528,1591.017,"Swine: live, pure-bred breeding animals"
"112",2022,"Croatia","Italy","010391",2561.04,1154.351,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
