"","Albania","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Serbia","Slovakia","Slovenia","Spain","Sweden","Switzerland"
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austria",0.00167616769414683,0,0,0.0381264575698793,0.0672779433529698,0,0,0,0,0,0,0.145478773202237,3.67483928384379e-06,0,0,0.237730351053281,0.00248345638802163,0,0,0,0.0777447896438208,0,0,0,0.00238764597821326,0,0.42682615184971,0,0.000264588428436753,0
"Belgium",0,0.000751014250307592,0,0.000253708173676196,0.00283621635893488,0,0,0,0,0,0.0508871002194278,0.32711631775434,0.0006693024588117,0.00222776047770777,0,0.0469957699190535,0,0,0.0328526180037601,0,0.16338670244941,0.00219010726709022,0.0185391793188146,0.00142205017021593,0,0,0.00268715012149143,0.347185003056958,0,0
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00813849025803332,0,0,0,0,0,0,0.0378920880319676,0,0,0.953969421709999,0,0,0,0,0,0
"Croatia",0.0288828133047482,0.0144375992405375,0,0.00054089812026761,0,0,0,0,0,0,0,0.00330882920958376,0.000344059022307674,0.630089051550533,0.00072028043965639,0.203312954118628,0,0.000378612308222439,0,0,0.0374334323209209,0.000353458826153681,0,0.00113309722574147,0.0778479636312275,0.00109225229411654,0,0.000124698387355864,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Czechia",0,0.043648546008817,0,0.00628291491315501,0.00464503956898896,0,0,0,0,0,0,0.132850346344259,0.0013473410645711,0.294253968620667,0,0.000728820451230898,0,5.33553667472705e-06,0,0.000161471201891361,0.0469454360985872,0.0688226224080824,6.642858647842e-05,0.0435510066111807,0.000116230778369433,0.356573533258249,9.58548796541873e-07,0,0,0
"Denmark",5.08626253466185e-05,0.000315373021543801,0.00115223595108036,0.000175693837285009,0.0131753214993664,1.72013453941212e-07,0.000862603692970593,0,6.44909998674017e-06,9.73395676729315e-06,0.000559182613202146,0.417590681164606,0.000188015356244354,0.00515623094116766,0.000344940593124165,0.0466582165081467,4.32025543281612e-05,5.52387836169535e-05,4.92861679381086e-07,1.02868067188501e-06,0.0264386768626593,0.458732472984351,1.32994291066092e-05,0.00599201742813139,0.00865589613823181,0.00249286523978021,0.000111781782574563,0.0111653566469106,5.0455340590825e-05,1.50239307553955e-06
"Estonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715581252053127,0.459229064236475,0,0,0.211203733880884,0.256295510991246,0.00145325193349538,0.000260313752587361,0,0,0,0,0,0
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018463522470817,0,0,0,0.998153647752918,0,0,0,0,0,0,0,0,0
"France",0,0.000201434512308994,0.484925357146484,8.31950077908813e-05,2.31907847683007e-06,7.98697069304933e-05,4.25048433495004e-05,1.89391408941122e-06,0,0,0,0.147317821747267,0.000232774925357955,0.000679165000630221,6.64957101923075e-05,0.0691109527058116,0,0,0.0232123154793927,0,0.0356755849763772,0.00489986785861851,0.00037966406770344,0.00246657219005069,0.000144169378642936,0,0,0.228056899663647,0,0.00242114208687806
"Germany",0,0.182961988355075,0.00889411482021354,0.00338082096267067,0.0401756950555531,0,0.0193975110698933,0.00564004376747063,0,4.26675190582613e-07,0.0209203107005558,0,0.00222450609346808,0.224945752811386,4.01100279659091e-05,0.0579355867787474,0,1.55309769372071e-06,0.0138406488397398,0,0.0606425467415628,0.134945194573745,0.000326971865423221,0.179662797254278,0.000980072912768261,0.000471036965710146,0.00352418773789568,0.0390874771912048,0,6.4570178841502e-07
"Greece",0.992068354874907,0,0,0.000677401792110184,0,0.000150973602873619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00695053664206177,0,0,0,0,0,0,0.000152733088047931,0,0
"Hungary",0.0377896090793408,0.0394510800935898,0,0.000640848414515918,0.0832671681935161,0,0.00192007491288259,0,0,0,0,0.00874282178313956,0.00266162247933924,0,0,0.0792122412372171,3.16202325141077e-05,0,0,0,0.104324410539222,0.0188306407838273,0,0.544470530369571,0.0228708736231743,0.0353094751736364,0.00229287905823648,0.0181841040262771,0,0
"Ireland",0,0,0.0131586752856894,0.00025770473986569,0.00102309112541493,0,0.00150803917710159,0.569517921171355,0.011404840702015,0,0.00749318048418612,0.0183568875465571,0,0,0,0.0163805733843789,0,0.00132368269772758,0,0,0.302064121676547,0,6.57395197767778e-05,0.0014650067861366,0,7.93955552859635e-07,0,0.0559797417476955,0,0
"Italy",0,0.00555192957942269,0,0,0,0,0,0,0,0,0.0131772293897693,0.0140512625780688,0.00545513464685287,0.00118431446908963,0,0,0,0,0.00109867942286315,7.5431721569709e-06,0.823771027993067,0,0,0,0,0,0,0.135702878748709,0,0
"Latvia",0,0,0,0,0,0,0,0.134778542734377,0.00101053666733726,0,0,0,0,0,0,0,0,0.458951345924548,0,0,0.00609367076453985,0.399165903909199,0,0,0,0,0,0,0,0
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000633550097401162,0,0,0.350105507203526,0,0,0,0.00586747740536451,0.64338969792954,0,3.76736416798179e-06,0,0,0,0,0,0
"Luxembourg",0,0,0.0442464147832807,0,0,0,0,0,0,0,2.76095967872784e-08,0.0865722789566335,0,0.000845433463223252,0,0.233891068521452,0,0,0,0,0.0503603335931299,0,0,5.90712845183179e-05,0,0,0,0.584025371788166,0,0
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078487964243481,0,0,0,0,0.00935201330848015,0,0,0.912160022448039,0,0,0,0,0,0
"Netherlands",0.000617250648056247,0.00824657005853329,0.08317511054281,0.000603743944002504,0.0369040712419246,0.000180438966542536,0.00190283374029236,0.00311870264392306,0.000312604164919986,0.000868950914917079,0.00316196980115584,0.474812613683277,0.000323022458664903,0.00364067751207824,0.00147704705547205,0.0594988230398052,0.000450423734601533,0.000537883760516999,0.0149360049088308,0.000139829134954054,0,0.0130855263845932,0.000910319650748113,0.0360047985790009,0.000834558851688108,0.00436706325167534,0.0074719138229344,0.240645193904798,0.00177001352428709,2.0400749962411e-06
"Poland",0,3.66252685986939e-06,0,0,0.0287116233659342,0.00329700182822547,0.00161215862220299,0,0,0,0,0.000469367370179123,0.00246245506221537,0.00765962312287338,0.000220798625341287,0.0979367666314228,0,0,0,0,0.464029202919408,0,0,0.0866701912491282,0,0.305937740895908,0,0.000989407780301362,0,0
"Portugal",0,0.000855564342572968,3.28431609433001e-06,0,0,0,0,0,0.000974470269838107,0,9.4150394704127e-05,0.0488184370693567,0,0,0,0,0,0,0.000234554907736735,0,0.00252387923049923,0.00373590955730039,0,0.000886765345469103,0,0,0,0.941872984566428,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0.0197139378250492,0,0,0.0380921667378987,0,0,0,0,0,0,0.942193895437052,0,0,0,0,0,0,0,0,0
"Serbia",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slovakia",0.0100702257244474,0.00079383328728529,0,0,0.00610901784055461,0,0.0956484059291653,0.000880552120860194,0,0,0,0.00827085130753908,0.00538562420878131,0.745945495956188,0,0.00194550754816619,0,0,0,0,0.0732743115933113,0.024456831781383,0,0.0272193427023187,0,0,0,0,0,0
"Slovenia",0,0.926782862724134,0,0,0.0084735795679185,0,0,0,0,0,0,0.0109961137597124,0,0,0,0.0244677643143688,0,0,0,0,0.0292796796338666,0,0,0,0,0,0,0,0,0
"Spain",0,0,0.00122443006529806,0,0,0,0,0,0,0,0.00111982407512707,0.130592422692738,0.000555454961653371,1.31512726946717e-06,3.99588269554904e-05,0.0453781653784139,0,0,3.72016626350525e-05,0,0.0150635596937919,0.000266326423339796,0.805683942818617,3.51138980947734e-07,3.70471351808901e-05,0,0,0,0,0
"Sweden",0,0,0.00120855534349837,0,0,0,0.00104096067484787,0.000130120084355983,0,0,0.00624576404908719,0.0124915280981744,0,0.00936864607363079,0.0031228820245436,0,0,0.0104096067484787,0,0,0.943490408805209,0.00104096067484787,0.00104096067484787,0.00104096067484787,0,0,0,0.00936864607363079,0,0
"Switzerland",0,0.00644092263549189,0.000498437693202296,0,0,0,0,0,0,0,0,0.993060639671306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
