"exporter","importer","no_exported_animals","exporter_herd_size","rate_exp_to_imp","rel_p_exp_to_imp"
"Croatia","Germany",3.07540334855403,873000,3.52279879559454e-06,0.0135381005469114
"Croatia","Italy",188.96996499239,873000,0.000216460440999301,0.831856539278381
"Croatia","Netherlands",34.7926398782344,873000,3.9854112117107e-05,0.153159180627634
"Croatia","Poland",0.328523592085236,873000,3.76315683946433e-07,0.00144617954707423
"Denmark","Croatia",522.569484018265,11583000,4.51152105687874e-05,0.013687289512718
"Denmark","Germany",16562.7948280061,11583000,0.00142992271674058,0.433817463292104
"Denmark","Italy",1850.59318112633,11583000,0.000159768037738611,0.0484712663387221
"Denmark","Netherlands",1048.63063318113,11583000,9.05318685298391e-05,0.0274660337184044
"Denmark","Poland",18194.591435312,11583000,0.0015708012980499,0.476557947138051
"Germany","Croatia",171.981560121766,21292300,8.07717156539057e-06,0.134214673244379
"Germany","Denmark",24.1435406392694,21292300,1.13390947146477e-06,0.0188416561378305
"Germany","Italy",248.006975038052,21292300,1.16477306368054e-05,0.193545023626323
"Germany","Netherlands",259.594757077626,21292300,1.21919547008837e-05,0.202588146499306
"Germany","Poland",577.66480608828,21292300,2.71302210699774e-05,0.450810500492162
"Italy","Germany",0.469522374429224,7820490,6.00374624133812e-08,0.016771172999575
"Italy","Netherlands",27.5262757990868,7820490,3.51976356968512e-06,0.983228827000425
"Netherlands","Croatia",614.549638660578,10192000,6.02972565404806e-05,0.0628240232968738
"Netherlands","Denmark",51.9345838660578,10192000,5.0956224358377e-06,0.00530915535777689
"Netherlands","Germany",7906.87613455099,10192000,0.000775792399386871,0.80830211138873
"Netherlands","Italy",990.811554642314,10192000,9.72146344821736e-05,0.101288430219125
"Netherlands","Poland",217.908356468798,10192000,2.13803332485084e-05,0.0222762797374945
"Poland","Croatia",4.3241400304414,9078250,4.76318677106425e-07,0.0485693495776371
"Poland","Germany",0.070689497716895,9078250,7.78668771149671e-09,0.000793994390077369
"Poland","Italy",14.7498554033486,9078250,1.62474655394471e-06,0.165672452386263
"Poland","Netherlands",69.8855382039574,9078250,7.69812884685456e-06,0.784964203646023
